               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.027666,             0.01667,            0.016057,             0.70817,             0.67889,             0.71998,             0.47933,            0.024557,           0.0074107,            0.031386,           0.0069112,           0.0069112,           0.0069112
                  80,            0.027248,            0.016515,            0.015229,              0.6663,             0.70559,             0.73262,             0.47924,            0.025466,           0.0074255,            0.030818,           0.0068716,           0.0068716,           0.0068716
                  81,            0.027097,            0.016327,            0.014774,             0.71845,             0.65308,             0.73871,             0.48507,            0.024766,           0.0074761,            0.028665,            0.006832,            0.006832,            0.006832
                  82,            0.027127,            0.016319,            0.015111,             0.69223,             0.65777,             0.71411,             0.46487,            0.024719,           0.0074928,            0.031489,           0.0067924,           0.0067924,           0.0067924
                  83,            0.027219,            0.016099,             0.01549,             0.72086,             0.67173,             0.73185,             0.47843,            0.024658,            0.007416,            0.026367,           0.0067528,           0.0067528,           0.0067528
                  84,            0.027297,            0.016717,            0.015283,             0.67942,             0.69929,             0.72219,             0.47643,            0.025242,           0.0073596,            0.030655,           0.0067132,           0.0067132,           0.0067132
                  85,            0.027082,            0.016127,            0.014727,             0.77826,             0.64957,             0.75269,             0.50091,            0.025386,           0.0073454,            0.027946,           0.0066736,           0.0066736,           0.0066736
                  86,            0.026555,            0.016393,            0.014496,             0.68825,             0.74151,             0.74687,             0.49012,             0.02468,           0.0073362,            0.029309,            0.006634,            0.006634,            0.006634
                  87,            0.026845,            0.016212,            0.015191,             0.70008,             0.69812,              0.7355,             0.48299,            0.024838,           0.0074201,            0.027005,           0.0065944,           0.0065944,           0.0065944
                  88,            0.026698,             0.01633,            0.014393,             0.73059,             0.70039,              0.7596,             0.50056,            0.024914,           0.0074735,            0.026017,           0.0065548,           0.0065548,           0.0065548
                  89,            0.026767,            0.016467,            0.014546,             0.70243,             0.70506,             0.74558,             0.48721,            0.024594,           0.0074953,            0.027832,           0.0065152,           0.0065152,           0.0065152
                  90,             0.02646,            0.015817,            0.014793,             0.70468,             0.70188,             0.73648,             0.49028,            0.024163,           0.0074721,            0.027116,           0.0064756,           0.0064756,           0.0064756
                  91,             0.02667,            0.016058,            0.013926,             0.69065,             0.68386,             0.72985,              0.4852,            0.024077,           0.0075203,            0.029324,            0.006436,            0.006436,            0.006436
                  92,            0.026499,            0.016113,            0.014122,             0.73693,             0.65273,             0.71894,             0.48265,            0.024184,           0.0075441,            0.027767,           0.0063964,           0.0063964,           0.0063964
                  93,            0.026129,            0.016003,             0.01335,             0.67068,             0.68927,             0.72767,             0.48497,            0.024026,           0.0075692,            0.027087,           0.0063568,           0.0063568,           0.0063568
                  94,            0.026485,            0.015992,            0.013793,             0.71134,             0.67462,              0.7307,             0.48425,            0.024178,           0.0076099,            0.027261,           0.0063172,           0.0063172,           0.0063172
                  95,            0.026293,            0.016041,            0.014234,             0.71434,             0.65868,             0.72871,             0.47854,            0.024105,           0.0074046,            0.028595,           0.0062776,           0.0062776,           0.0062776
                  96,            0.026116,            0.016177,            0.013081,              0.6668,             0.70806,             0.74137,             0.49186,            0.023578,           0.0074736,            0.026457,            0.006238,            0.006238,            0.006238
                  97,            0.026192,            0.016004,            0.013173,             0.70488,             0.63391,             0.73089,             0.48471,            0.024259,           0.0075941,            0.028386,           0.0061984,           0.0061984,           0.0061984
                  98,            0.026053,             0.01585,            0.014305,             0.70978,             0.69068,             0.72407,             0.47391,             0.02413,           0.0075541,            0.030942,           0.0061588,           0.0061588,           0.0061588
                  99,            0.026109,            0.015754,            0.013093,             0.64718,             0.72632,             0.73562,             0.48398,            0.024526,           0.0075643,            0.031282,           0.0061192,           0.0061192,           0.0061192
                 100,            0.026109,            0.015803,            0.013421,              0.6344,             0.75139,             0.73578,             0.48249,            0.025146,           0.0076409,            0.029932,           0.0060796,           0.0060796,           0.0060796
                 101,            0.025867,            0.015644,             0.01282,             0.68894,             0.71122,             0.74867,             0.48972,            0.025065,           0.0075135,            0.027705,             0.00604,             0.00604,             0.00604
                 102,            0.025954,            0.015841,            0.013274,             0.70191,             0.65557,             0.72635,             0.48226,            0.025024,           0.0075576,            0.029054,           0.0060004,           0.0060004,           0.0060004
                 103,            0.026086,            0.015508,            0.013082,             0.67618,             0.68686,             0.72925,             0.48716,            0.024739,           0.0075781,            0.028906,           0.0059608,           0.0059608,           0.0059608
                 104,            0.025799,            0.015698,            0.012552,             0.65056,             0.71029,             0.72312,             0.47986,            0.024299,           0.0075287,            0.029317,           0.0059212,           0.0059212,           0.0059212
                 105,            0.026019,            0.015337,            0.012489,             0.69776,             0.65719,             0.71994,             0.47466,            0.023221,           0.0075497,            0.030643,           0.0058816,           0.0058816,           0.0058816
                 106,            0.025837,             0.01568,            0.012701,             0.66243,             0.70874,             0.71418,             0.46976,            0.023785,           0.0075232,            0.029739,            0.005842,            0.005842,            0.005842
                 107,             0.02579,            0.015658,            0.013337,             0.71946,             0.69733,             0.72984,             0.48144,            0.024157,            0.007588,            0.029675,           0.0058024,           0.0058024,           0.0058024
                 108,             0.02552,            0.015502,            0.011602,             0.68283,              0.7166,             0.72846,             0.48186,            0.024529,            0.007569,            0.028542,           0.0057628,           0.0057628,           0.0057628
                 109,            0.025437,            0.015534,            0.012244,              0.6824,             0.70542,             0.73618,             0.48424,             0.02436,           0.0074955,            0.027031,           0.0057232,           0.0057232,           0.0057232
                 110,            0.025424,            0.015531,            0.012674,              0.7435,             0.67062,             0.72963,             0.48036,            0.024531,           0.0075464,            0.027018,           0.0056836,           0.0056836,           0.0056836
                 111,            0.025537,            0.015352,            0.012563,             0.72365,             0.69307,             0.72825,             0.47724,            0.024744,           0.0075854,            0.028259,            0.005644,            0.005644,            0.005644
                 112,            0.025399,            0.015348,            0.012336,             0.73224,             0.67496,              0.7244,             0.47728,            0.025217,           0.0074661,            0.030714,           0.0056044,           0.0056044,           0.0056044
                 113,             0.02505,            0.015667,            0.011172,             0.75325,             0.65629,             0.73186,             0.48182,            0.025156,           0.0074917,            0.028632,           0.0055648,           0.0055648,           0.0055648
                 114,            0.024989,            0.015425,            0.011598,             0.70382,             0.67402,             0.72351,              0.4772,            0.025286,             0.00762,              0.0279,           0.0055252,           0.0055252,           0.0055252
